"Polnoletni storilci zoper katere je bil kazenski postopek pri državnem tožilstvu konèan po kaznivem dejanju, spolu, starosti ob storitvi kaznivega dejanja in vrsti odloèbe, Slovenija, letno"

"KAZNIVO DEJANJE";"VRSTA ODLOÈBE";"Moški Starost - SKUPAJ 2013";"Moški Starost - SKUPAJ 2014";"Moški Starost - SKUPAJ 2015";"Moški Starost - SKUPAJ 2016";"Moški Starost - SKUPAJ 2017";"Moški Starost - SKUPAJ 2018";"Moški Starost - SKUPAJ 2019";"Moški Starost - SKUPAJ 2020";"Moški do 20 let 2013";"Moški do 20 let 2014";"Moški do 20 let 2015";"Moški do 20 let 2016";"Moški do 20 let 2017";"Moški do 20 let 2018";"Moški do 20 let 2019";"Moški do 20 let 2020";"Moški od 21 do 30 let 2013";"Moški od 21 do 30 let 2014";"Moški od 21 do 30 let 2015";"Moški od 21 do 30 let 2016";"Moški od 21 do 30 let 2017";"Moški od 21 do 30 let 2018";"Moški od 21 do 30 let 2019";"Moški od 21 do 30 let 2020";"Moški od 31 do 40 let 2013";"Moški od 31 do 40 let 2014";"Moški od 31 do 40 let 2015";"Moški od 31 do 40 let 2016";"Moški od 31 do 40 let 2017";"Moški od 31 do 40 let 2018";"Moški od 31 do 40 let 2019";"Moški od 31 do 40 let 2020";"Moški od 41 do 50 let 2013";"Moški od 41 do 50 let 2014";"Moški od 41 do 50 let 2015";"Moški od 41 do 50 let 2016";"Moški od 41 do 50 let 2017";"Moški od 41 do 50 let 2018";"Moški od 41 do 50 let 2019";"Moški od 41 do 50 let 2020";"Moški od 51 do 60 let 2013";"Moški od 51 do 60 let 2014";"Moški od 51 do 60 let 2015";"Moški od 51 do 60 let 2016";"Moški od 51 do 60 let 2017";"Moški od 51 do 60 let 2018";"Moški od 51 do 60 let 2019";"Moški od 51 do 60 let 2020";"Moški nad 60 let 2013";"Moški nad 60 let 2014";"Moški nad 60 let 2015";"Moški nad 60 let 2016";"Moški nad 60 let 2017";"Moški nad 60 let 2018";"Moški nad 60 let 2019";"Moški nad 60 let 2020";"Ženske Starost - SKUPAJ 2013";"Ženske Starost - SKUPAJ 2014";"Ženske Starost - SKUPAJ 2015";"Ženske Starost - SKUPAJ 2016";"Ženske Starost - SKUPAJ 2017";"Ženske Starost - SKUPAJ 2018";"Ženske Starost - SKUPAJ 2019";"Ženske Starost - SKUPAJ 2020";"Ženske do 20 let 2013";"Ženske do 20 let 2014";"Ženske do 20 let 2015";"Ženske do 20 let 2016";"Ženske do 20 let 2017";"Ženske do 20 let 2018";"Ženske do 20 let 2019";"Ženske do 20 let 2020";"Ženske od 21 do 30 let 2013";"Ženske od 21 do 30 let 2014";"Ženske od 21 do 30 let 2015";"Ženske od 21 do 30 let 2016";"Ženske od 21 do 30 let 2017";"Ženske od 21 do 30 let 2018";"Ženske od 21 do 30 let 2019";"Ženske od 21 do 30 let 2020";"Ženske od 31 do 40 let 2013";"Ženske od 31 do 40 let 2014";"Ženske od 31 do 40 let 2015";"Ženske od 31 do 40 let 2016";"Ženske od 31 do 40 let 2017";"Ženske od 31 do 40 let 2018";"Ženske od 31 do 40 let 2019";"Ženske od 31 do 40 let 2020";"Ženske od 41 do 50 let 2013";"Ženske od 41 do 50 let 2014";"Ženske od 41 do 50 let 2015";"Ženske od 41 do 50 let 2016";"Ženske od 41 do 50 let 2017";"Ženske od 41 do 50 let 2018";"Ženske od 41 do 50 let 2019";"Ženske od 41 do 50 let 2020";"Ženske od 51 do 60 let 2013";"Ženske od 51 do 60 let 2014";"Ženske od 51 do 60 let 2015";"Ženske od 51 do 60 let 2016";"Ženske od 51 do 60 let 2017";"Ženske od 51 do 60 let 2018";"Ženske od 51 do 60 let 2019";"Ženske od 51 do 60 let 2020";"Ženske nad 60 let 2013";"Ženske nad 60 let 2014";"Ženske nad 60 let 2015";"Ženske nad 60 let 2016";"Ženske nad 60 let 2017";"Ženske nad 60 let 2018";"Ženske nad 60 let 2019";"Ženske nad 60 let 2020"
"4.XXIII.217041 prikrivanje - od. 4 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;1;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;1;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"4.XXIII.217042 prikrivanje - od. 4 v zvezi z od. 2";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.217051 prikrivanje - od. 5 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";1;1;-;-;1;1;1;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;1;-;-;1;1;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;1;-;0;-;-;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"4.XXIII.217053 prikrivanje - od. 5 v zvezi z od. 3";"Odloèba tožilstva - SKUPAJ";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.218 nedovoljen izvoz in uvoz stvari, ki so posebnega kulturnega pomena ali naravne vrednote";"Odloèba tožilstva - SKUPAJ";1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"4.XXIII.218010 nedovoljen izvoz in uvoz stvari, ki so posebnega kulturnega pomena ali naravne vrednote - od. 1";"Odloèba tožilstva - SKUPAJ";1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"4.XXIII.219 poškodovanje ali unièenje stvari, ki so posebnega kulturnega pomena ali naravne vrednote";"Odloèba tožilstva - SKUPAJ";3;4;3;3;6;4;3;9;0;-;-;-;-;1;-;-;3;-;-;-;2;-;1;1;0;3;2;2;1;1;-;-;0;1;1;-;1;1;-;4;0;-;-;-;1;-;2;2;0;-;-;1;1;1;-;2;2;1;-;1;3;-;-;4;0;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;0;-;-;-;1;-;-;-;0;1;-;1;1;-;-;1;0;-;-;-;-;-;-;2
"4.XXIII.219010 poškodovanje ali unièenje stvari, ki so posebnega kulturnega pomena ali naravne vrednote - od. 1";"Odloèba tožilstva - SKUPAJ";3;4;2;2;5;4;3;9;0;-;-;-;-;1;-;-;3;-;-;-;1;-;1;1;0;3;1;1;1;1;-;-;0;1;1;-;1;1;-;4;0;-;-;-;1;-;2;2;0;-;-;1;1;1;-;2;2;1;-;-;3;-;-;3;0;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;1;-;-;-;0;1;-;-;1;-;-;1;0;-;-;-;-;-;-;2
"4.XXIII.219020 poškodovanje ali unièenje stvari, ki so posebnega kulturnega pomena ali naravne vrednote - od. 2";"Odloèba tožilstva - SKUPAJ";-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIII.220 poškodovanje tuje stvari";"Odloèba tožilstva - SKUPAJ";788;660;721;779;791;728;744;841;123;81;76;78;77;81;56;63;270;195;200;234;222;191;171;209;160;138;160;198;187;189;216;219;98;113;122;122;130;110;138;167;82;74;98;87;94;81;85;100;55;59;65;60;81;76;78;83;87;107;118;85;106;119;122;135;5;6;11;2;10;10;11;5;21;22;20;17;14;29;11;27;16;22;23;15;20;16;23;23;18;15;26;24;25;22;24;29;13;18;21;8;18;19;21;21;14;24;17;19;19;23;32;30
"4.XXIII.220010 poškodovanje tuje stvari - od. 1";"Odloèba tožilstva - SKUPAJ";759;634;698;764;781;708;732;834;119;77;72;76;77;74;52;63;258;189;191;233;221;187;171;206;154;134;157;194;181;186;214;218;97;108;117;120;128;109;135;166;79;71;98;84;94;80;83;99;52;55;63;57;80;72;77;82;79;102;113;81;104;117;118;134;5;6;11;-;9;10;11;5;19;20;19;16;14;29;11;27;15;22;21;15;19;16;23;23;18;15;25;23;25;21;23;29;11;16;21;8;18;18;20;21;11;23;16;19;19;23;30;29
"4.XXIII.220020 poškodovanje tuje stvari - od. 2";"Odloèba tožilstva - SKUPAJ";21;26;23;15;10;19;12;7;3;4;4;2;-;7;4;-;10;6;9;1;1;3;-;3;4;4;3;4;6;3;2;1;1;5;5;2;2;1;3;1;1;3;-;3;-;1;2;1;2;4;2;3;1;4;1;1;7;5;5;4;2;2;4;1;0;-;-;2;1;-;-;-;2;2;1;1;-;-;-;-;1;-;2;-;1;-;-;-;0;-;1;1;-;1;1;-;2;2;-;-;-;1;1;-;2;1;1;-;-;-;2;1
"4.XXIII.220031 poškodovanje tuje stvari - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";8;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-
"4.XXIII.221 napad na informacijski sistem";"Odloèba tožilstva - SKUPAJ";20;19;57;56;41;31;30;24;3;3;4;4;5;3;1;3;8;6;15;16;15;4;5;5;6;1;22;16;11;11;12;9;1;6;11;13;5;6;6;6;2;3;3;2;2;6;5;-;0;-;2;5;3;1;1;1;2;6;8;14;11;11;6;11;0;-;1;-;-;-;-;-;1;3;3;3;3;1;-;1;0;2;3;4;1;3;2;5;1;1;1;4;4;4;4;2;0;-;-;3;1;2;-;1;0;-;-;-;2;1;-;2
"4.XXIII.221010 napad na informacijski sistem - od. 1";"Odloèba tožilstva - SKUPAJ";12;6;36;35;17;16;16;13;2;1;3;4;2;1;1;3;5;2;10;9;5;3;4;3;2;-;13;8;5;5;7;3;1;3;6;10;3;3;2;3;2;-;2;-;-;4;1;-;0;-;2;4;2;-;1;1;2;2;3;8;6;6;4;3;0;-;-;-;-;-;-;-;1;1;1;1;1;1;-;1;0;1;2;4;-;1;1;1;1;-;-;1;4;3;3;1;0;-;-;2;1;1;-;-;0;-;-;-;-;-;-;-
"4.XXIII.221020 napad na informacijski sistem - od. 2";"Odloèba tožilstva - SKUPAJ";7;13;21;21;24;15;14;11;1;2;1;-;3;2;-;-;2;4;5;7;10;1;1;2;4;1;9;8;6;6;5;6;0;3;5;3;2;3;4;3;0;3;1;2;2;2;4;-;0;-;-;1;1;1;-;-;0;4;5;6;5;4;2;8;0;-;1;-;-;-;-;-;0;2;2;2;2;-;-;-;0;1;1;-;1;2;1;4;0;1;1;3;-;1;1;1;0;-;-;1;-;1;-;1;0;-;-;-;2;-;-;2
"4.XXIII.221032 napad na informacijski sistem - od. 3 v zvezi z od. 2";"Odloèba tožilstva - SKUPAJ";1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"4.XXIII.221042 napad na informacijski sistem - od. 4 v zvezi z od. 2";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
"4.XXIII.222 požig";"Odloèba tožilstva - SKUPAJ";17;19;24;12;30;16;13;21;2;2;1;1;1;1;1;2;5;7;6;4;10;11;6;5;4;5;9;3;10;1;1;5;2;2;5;4;6;-;2;5;2;2;2;-;3;1;2;4;2;1;1;-;-;2;1;-;2;5;3;6;5;2;3;2;0;-;-;-;-;-;-;-;0;-;-;2;2;1;1;-;0;1;3;1;2;-;-;-;0;3;-;2;-;1;2;2;1;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-
"4.XXIII.222010 požig - od. 1";"Odloèba tožilstva - SKUPAJ";13;16;22;11;15;14;9;8;1;2;1;1;1;1;1;-;3;5;6;3;7;9;6;1;3;5;8;3;3;1;1;2;2;2;5;4;4;-;-;3;2;2;2;-;-;1;1;2;2;-;-;-;-;2;-;-;2;3;2;6;4;1;1;1;0;-;-;-;-;-;-;-;0;-;-;2;1;1;1;-;0;-;2;1;2;-;-;-;0;3;-;2;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-
"4.XXIII.222021 požig - od. 2 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;-;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
"4.XXIII.222031 požig - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";1;-;2;-;1;-;-;1;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;-;1;-;1;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;1;0;-;1;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"4.XXIII.222041 požig - od. 4 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";3;3;-;1;13;1;2;10;1;-;-;-;-;-;-;2;1;2;-;1;2;1;-;4;1;-;-;-;6;-;-;2;0;-;-;-;2;-;2;2;0;-;-;-;3;-;-;-;0;1;-;-;-;-;-;-;0;1;1;-;-;-;2;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;1;1;-;-;-;-;-;0;-;-;-;-;-;2;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"4.XXIII.223 oškodovanje tujih pravic";"Odloèba tožilstva - SKUPAJ";60;60;80;50;59;53;29;38;1;-;-;-;1;1;-;-;5;7;5;4;3;3;5;3;16;22;21;11;18;15;6;12;28;17;30;21;20;20;9;10;7;12;21;10;9;8;4;10;3;2;3;4;8;6;5;3;16;21;11;15;27;17;11;15;1;-;-;-;1;1;-;1;2;5;1;1;6;1;2;1;4;8;5;5;5;2;2;3;6;4;4;5;5;8;3;5;2;4;1;2;7;4;2;4;1;-;-;2;3;1;2;1
"4.XXIII.223010 oškodovanje tujih pravic - od. 1";"Odloèba tožilstva - SKUPAJ";12;17;24;19;13;15;7;6;0;-;-;-;-;-;-;-;0;4;-;2;1;-;3;-;4;6;4;5;4;3;-;3;7;5;9;8;4;5;3;-;1;2;10;4;3;5;-;2;0;-;1;-;1;2;1;1;6;3;4;2;11;5;2;4;0;-;-;-;1;-;-;-;1;-;1;1;1;1;-;-;2;2;2;-;1;-;-;1;2;1;1;-;2;3;1;1;1;-;-;1;5;1;1;1;0;-;-;-;1;-;-;1
"4.XXIII.223020 oškodovanje tujih pravic - od. 2";"Odloèba tožilstva - SKUPAJ";48;43;56;31;46;38;22;32;1;-;-;-;1;1;-;-;5;3;5;2;2;3;2;3;12;16;17;6;14;12;6;9;21;12;21;13;16;15;6;10;6;10;11;6;6;3;4;8;3;2;2;4;7;4;4;2;10;18;7;13;16;12;9;11;1;-;-;-;-;1;-;1;1;5;-;-;5;-;2;1;2;6;3;5;4;2;2;2;4;3;3;5;3;5;2;4;1;4;1;1;2;3;1;3;1;-;-;2;2;1;2;-
"4.XXIV KAZNIVA DEJANJA ZOPER GOSPODARSTVO";"Odloèba tožilstva - SKUPAJ";1580;2375;3045;2543;2401;1914;1761;1528;21;33;86;56;65;37;38;28;264;369;465;368;316;250;218;196;481;760;945;768;671;555;504;429;486;704;882;707;728;558;563;487;260;416;502;479;451;371;321;273;68;93;165;165;170;143;117;115;354;542;710;640;650;431;440;357;8;6;15;13;17;10;1;6;68;89;114;100;87;55;61;41;96;183;217;178;207;140;148;107;101;163;221;205;196;138;137;115;64;88;112;97;97;68;57;61;17;13;31;47;46;20;36;27
"4.XXIV.225 protipravno omejevanje konkurence";"Odloèba tožilstva - SKUPAJ";3;-;6;2;-;1;-;8;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;4;1;-;-;-;3;2;-;1;1;-;1;-;3;1;-;1;-;-;-;-;2;0;-;-;-;-;-;-;-;0;-;-;-;-;1;1;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;1;-;-;0;-;-;-;-;-;1;-;0;-;-;-;-;-;-;-
"4.XXIV.225000 protipravno omejevanje konkurence";"Odloèba tožilstva - SKUPAJ";3;-;6;2;-;1;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;4;1;-;-;-;-;2;-;1;1;-;1;-;-;1;-;1;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;1;1;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;1;-;-;0;-;-;-;-;-;1;-;0;-;-;-;-;-;-;-
"4.XXIV.225010 protipravno omejevanje konkurence - od. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"4.XXIV.226 povzroèitev steèaja z goljufijo ali nevestnim poslovanjem";"Odloèba tožilstva - SKUPAJ";9;7;24;48;46;47;52;43;0;-;-;1;-;2;2;-;2;-;1;7;6;7;5;3;1;3;6;11;14;10;14;10;5;2;12;12;11;18;22;13;1;1;3;13;13;6;8;14;0;1;2;4;2;4;1;3;3;4;5;13;16;13;15;17;0;-;-;-;1;1;-;-;0;-;1;2;2;1;2;-;1;1;-;2;6;3;5;9;1;1;2;3;3;5;6;3;1;1;2;2;3;2;1;3;0;1;-;4;1;1;1;2
"4.XXIV.226011 povzroèitev steèaja z goljufijo ali nevestnim poslovanjem - od. 1, tè. 1";"Odloèba tožilstva - SKUPAJ";3;2;12;22;19;13;20;25;0;-;-;1;-;-;1;-;1;-;-;4;3;2;2;1;0;1;3;5;4;2;5;7;2;1;7;6;7;6;10;6;0;-;2;5;4;2;2;9;0;-;-;1;1;1;-;2;1;1;4;4;10;5;5;11;0;-;-;-;-;-;-;-;0;-;1;1;1;1;-;-;0;-;-;1;4;1;2;7;1;-;2;1;3;2;3;2;0;-;1;1;2;1;-;-;0;1;-;-;-;-;-;2
"4.XXIV.226012 povzroèitev steèaja z goljufijo ali nevestnim poslovanjem - od. 1, tè. 2";"Odloèba tožilstva - SKUPAJ";0;-;-;1;2;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;1;-;-;-;0;-;-;1;1;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;0;-;-;-;-;-;-;-;0;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;1;-;-;-;0;-;-;-;-;-;-;-
"4.XXIV.226013 povzroèitev steèaja z goljufijo ali nevestnim poslovanjem - od. 1, tè. 3";"Odloèba tožilstva - SKUPAJ";2;3;1;-;1;3;8;1;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;1;1;-;-;1;4;-;1;1;-;-;1;2;2;-;1;1;-;-;-;-;2;1;0;-;-;-;-;-;-;-;1;2;-;1;-;-;2;1;0;-;-;-;-;-;-;-;0;-;-;-;-;-;1;-;0;1;-;1;-;-;-;-;0;-;-;-;-;-;1;-;1;1;-;-;-;-;-;1;0;-;-;-;-;-;-;-
"4.XXIV.226014 povzroèitev steèaja z goljufijo ali nevestnim poslovanjem - od. 1, tè. 4";"Odloèba tožilstva - SKUPAJ";-;-;-;-;3;3;2;2;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-
"4.XXIV.226020 povzroèitev steèaja z goljufijo ali nevestnim poslovanjem - od. 2";"Odloèba tožilstva - SKUPAJ";1;1;6;15;11;10;7;4;0;-;-;-;-;1;-;-;0;-;-;2;-;2;-;1;0;1;2;4;5;2;1;2;1;-;3;1;1;2;3;1;0;-;1;5;5;2;2;-;0;-;-;3;-;1;1;-;0;-;1;5;2;2;4;2;0;-;-;-;1;1;-;-;0;-;-;-;1;-;1;-;0;-;-;-;-;1;1;2;0;-;-;2;-;-;2;-;0;-;1;-;-;-;-;-;0;-;-;3;-;-;-;-
"4.XXIV.226031 povzroèitev steèaja z goljufijo ali nevestnim poslovanjem - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";3;1;3;6;9;12;13;6;0;-;-;-;-;1;-;-;1;-;1;1;2;2;3;1;1;-;-;2;2;3;2;1;1;-;1;3;1;5;6;-;0;-;-;-;3;1;2;3;0;1;1;-;1;-;-;1;0;-;-;2;3;2;3;2;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;2;1;1;-;0;-;-;-;-;1;-;-;0;-;-;1;-;-;1;2;0;-;-;1;1;-;1;-
"4.XXIV.226032 povzroèitev steèaja z goljufijo ali nevestnim poslovanjem - od. 3 v zvezi z od. 2";"Odloèba tožilstva - SKUPAJ";-;-;2;4;1;6;2;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;1;-;3;1;4;-;-;-;3;-;-;-;1;-;-;1;-;-;2;-;-;-;1;-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
"4.XXIV.227 oškodovanje upnikov";"Odloèba tožilstva - SKUPAJ";44;49;87;102;88;74;85;85;0;-;3;2;-;1;2;-;3;-;8;15;6;4;5;9;10;11;19;19;22;26;22;26;15;22;25;25;33;20;29;31;11;11;20;31;22;17;19;13;5;5;12;10;5;6;8;6;7;11;34;27;19;26;27;23;0;-;1;1;2;-;-;-;2;1;3;3;1;1;1;7;1;2;7;8;6;7;13;3;3;3;12;10;6;7;9;8;1;4;7;2;3;10;2;3;0;1;4;3;1;1;2;2
"4.XXIV.227010 oškodovanje upnikov - od. 1";"Odloèba tožilstva - SKUPAJ";21;16;53;56;30;20;34;31;0;-;2;1;-;1;1;-;0;-;3;10;1;2;1;3;6;-;13;10;10;6;13;7;7;11;16;11;8;4;11;11;6;3;11;19;10;6;4;7;2;2;8;5;1;1;4;3;1;4;19;10;6;11;14;11;0;-;1;1;1;-;-;-;1;1;1;-;-;-;1;4;0;-;3;2;3;3;6;2;0;1;6;3;1;4;3;4;0;1;6;2;1;3;2;-;0;1;2;2;-;1;2;1
"4.XXIV.227020 oškodovanje upnikov - od. 2";"Odloèba tožilstva - SKUPAJ";23;33;34;46;58;54;51;54;0;-;1;1;-;-;1;-;3;-;5;5;5;2;4;6;4;11;6;9;12;20;9;19;8;11;9;14;25;16;18;20;5;8;9;12;12;11;15;6;3;3;4;5;4;5;4;3;6;7;15;17;13;15;13;11;0;-;-;-;1;-;-;-;1;-;2;3;1;1;-;3;1;2;4;6;3;4;7;1;3;2;6;7;5;3;6;3;1;3;1;-;2;7;-;3;0;-;2;1;1;-;-;1
"4.XXIV.227031 oškodovanje upnikov - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
