"Izbrani podatki po obèinah, Slovenija, letno"

"MERITVE";"OBÈINE";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Hoèe - Slivnica";861.55;847.30;896.33;914.08;921.55;932.14;943.93;965.84;968.78;997.23;1061.27;1081.57;1158.38;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Hodoš/Hodos";751.87;772.64;800.87;825.00;797.26;811.43;765.29;870.38;881.13;869.31;833.72;832.76;918.74;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Horjul";847.25;833.30;916.28;938.10;937.08;938.57;979.67;1016.06;1020.16;1076.63;1140.78;1143.16;1253.75;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Hrastnik";764.42;784.03;824.34;870.03;869.74;882.04;881.25;899.75;920.67;955.30;999.18;1061.93;1131.30;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Hrpelje - Kozina";792.80;820.69;864.39;881.21;880.12;863.53;892.08;915.58;921.04;931.54;943.05;979.73;1009.50;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Idrija";838.79;848.31;923.75;944.03;953.24;970.89;990.55;994.12;1042.02;1090.82;1127.43;1162.22;1194.62;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ig";863.92;908.53;939.41;944.98;942.18;934.47;917.93;924.93;956.80;985.50;1005.11;1046.23;1089.25;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ilirska Bistrica";791.78;841.57;872.61;944.98;891.50;907.02;910.66;925.19;942.40;989.68;1016.69;1063.03;1159.87;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ivanèna Gorica";832.08;812.33;884.29;918.62;906.96;943.11;964.13;974.15;1006.65;1025.39;1048.77;1075.69;1121.94;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Izola/Isola";819.79;884.55;914.14;933.88;946.66;960.69;973.11;973.99;976.45;994.28;1021.03;1083.32;1187.96;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Jesenice";859.07;904.26;942.65;964.88;982.94;987.81;1006.05;1013.75;1036.17;1078.96;1109.49;1136.95;1205.25;...
