"4.XX KAZNIVA DEJANJA ZOPER ÈLOVEKOVO ZDRAVJE";0;0;0;26;89;248;366;684;0;0;0;1;10;24;43;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"4.XXI KAZNIVA DEJANJA ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE";0;0;0;101;223;257;385;562;0;0;0;3;18;40;51;74;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;4;5;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;6;5;5;9;0;0;0;0;0;2;0;0
"4.XXII KAZNIVA DEJANJA ZOPER DELOVNO RAZMERJE IN SOCIALNO VARNOST";0;0;0;2;17;14;47;114;0;0;0;0;3;2;8;24;0;0;0;0;0;1;9;6;0;0;0;0;0;1;1;1;0;0;0;0;1;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"4.XXIII KAZNIVA DEJANJA ZOPER PREMOŽENJE";0;0;0;410;1206;1640;2138;3501;0;0;0;85;209;294;400;596;0;0;0;9;48;61;77;109;0;0;0;0;8;3;1;13;0;0;0;0;7;11;12;19;0;0;0;0;2;10;8;7;0;0;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;4;3;17;8;4;0;0;0;1;0;2;2;0
"4.XXIV KAZNIVA DEJANJA ZOPER GOSPODARSTVO";0;0;0;15;47;99;150;310;0;0;0;0;9;15;26;57;0;0;0;0;0;4;4;15;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4.XXV KAZNIVA DEJANJA ZOPER PRAVNI PROMET";0;0;0;179;367;337;427;531;0;0;0;26;53;52;65;74;0;0;0;2;2;19;23;18;0;0;0;0;0;3;3;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"4.XXVI KAZNIVA DEJANJA ZOPER URADNO DOLŽNOST IN JAVNA POOBLASTILA";0;0;0;1;2;3;14;24;0;0;0;0;1;1;0;2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"4.XXVIII KAZNIVA DEJANJA ZOPER PRAVOSODJE";0;0;0;13;24;44;63;94;0;0;0;4;13;18;16;40;0;0;0;6;9;21;18;27;0;0;0;0;2;0;5;5;0;0;0;0;1;3;4;3;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;3;0;1
"4.XXIX KAZNIVA DEJANJA ZOPER JAVNI RED IN MIR";0;0;0;88;200;228;383;618;0;0;0;3;18;14;15;47;0;0;0;0;3;4;13;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;2;8;0;0;0;0;0;0;1;3
"4.XXX KAZNIVA DEJANJA ZOPER SPLOŠNO VARNOST LJUDI IN PREMOŽENJA";0;0;0;9;16;24;36;48;0;0;0;0;3;2;2;3;0;0;0;1;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
"4.XXXI KAZNIVA DEJANJA ZOPER VARNOST JAVNEGA PROMETA";0;0;0;23;107;144;182;271;0;0;0;4;8;23;22;35;0;0;0;1;15;22;32;56;0;0;0;0;2;4;6;7;0;0;0;0;1;0;4;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
"4.XXXII KAZNIVA DEJANJA ZOPER OKOLJE, PROSTOR IN NARAVNE DOBRINE";0;0;0;0;11;14;22;37;0;0;0;1;1;1;2;7;0;0;0;0;2;1;6;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0

"KAZNIVO DEJANJE "
"Kazniva dejanja so razvršèena po posameznih kazenskih zakonikih.  "
"Èe je na prvem mestu šifra 1. pomeni, da gre za kazniva dejanja po "
"Kazenskem zakoniku KZ-UPB1 (uporabljen do leta 2008), èe je na prvem "
"mestu šifra 4. gre za  kazniva dejanja po Kazenskem zakoniku KZ-1 "
"(uporabljen od leta 2008 do 2012), èe je na prvem mestu šifra 5. gre "
"za  kazniva dejanja po Kazenskem zakoniku KZ-1B (uporabljen od leta "
"2012 dalje). Šifri 2. in 3. pomenita stare kazenske zakonike, ki niso "
"veè v  uporabi. "
"Predlagamo uporabo iskalnika (v okence 'Išèi' pri spremenljivki "
"KAZNIVO DEJANJE vtipkajte iskani niz).  "
"Primer:  "
"Èe želite imeti podatke o »povzroèitvi prometne nesreèe iz "
"malomarnosti« po vseh kazenskih zakonikih morate izbrati šifre "
"1.XXXI.325, 4.XXXI.323  in 5.XXXI.323.  "
" "
" "
"Vir: Statistièni urad Republike Slovenije. "
" "
" "
"Povezane vsebine: "
"- (seznam HREF=http://www.stat.si/doc/metod_pojasnila/13-046-MP.htm "
"target=_blank) Metodološka pojasnila "
"- (seznam "
"HREF=http://www.stat.si/koledar.asp?pod=13&kon=046&DatumOd=1.1.2005&D-"
"atumDo=Date() target=_blank) Koledar objav "
"- (seznam HREF=http://www.stat.si/metodologija_vpr.asp?pod=13&kon=046 "
"target=_blank) Vprašalniki statistiènega raziskovanja "
" "
"V tabeli so zajeti vsi obsojenci, vkljuèno s pogojno obsojenimi."

